year,ba_code,hhi_cap,hhi_gen,hhi_cap_smoothed,hhi_gen_smoothed,norm_hhi_cap_smoothed,norm_hhi_gen_smoothed,eff_no_firms_smoothed_cap,eff_no_firms_smoothed_gen
1990,BPA,1745.730114,1704.994843,1743.6871,1635.2317,100,100,5.7349739,6.1153412
1991,BPA,1716.12852,1813.554193,1739.4976,1624.425,99.759727,99.339134,5.7487864,6.1560245
1992,BPA,1778.08151,1514.240614,1726.7076,1619.0432,99.02623,99.010017,5.7913685,6.1764874
1993,BPA,1740.035093,1558.23393,1708.7719,1615.9185,97.99762,98.818932,5.8521562,6.1884313
1994,BPA,1699.152179,1441.90904,1676.5825,1612.1292,96.151566,98.587204,5.9645143,6.2029772
1995,BPA,1622.05008,1672.181023,1649.2155,1606.656,94.582077,98.252502,6.063489,6.2241077
1996,BPA,1614.521262,1637.375594,1619.2692,1586.1311,92.864662,96.99733,6.1756253,6.3046489
1997,BPA,1498.686743,1674.488661,1591.2626,1546.4166,91.258492,94.568657,6.284318,6.4665627
1998,BPA,1511.393284,1424.381814,1539.9276,1489.0438,88.314445,91.060112,6.4938116,6.7157192
1999,BPA,1576.935977,1629.422625,1463.8202,1407.2118,83.949707,86.055801,6.83144,7.1062508
2000,BPA,1532.090594,1536.774423,1381.4093,1309.0358,79.223465,80.05201,7.2389841,7.6392107
2001,BPA,1419.614048,1097.444654,1337.5837,1222.3424,76.710075,74.750412,7.4761672,8.1810141
2002,BPA,1329.848987,1272.428613,1320.5204,1167.3269,75.731499,71.386024,7.572772,8.5665808
2003,BPA,1267.652954,1172.288181,1302.5701,1141.8148,74.702049,69.825874,7.6771302,8.757988
2004,BPA,1285.626859,1101.578415,1279.2775,1128.2892,73.366226,68.998734,7.8169127,8.8629761
2005,BPA,1262.940189,1073.152691,1246.3889,1109.4575,71.48008,67.847115,8.0231781,9.0134144
2006,BPA,1230.775487,1202.6477,1214.7085,1091.8606,69.663216,66.771004,8.2324276,9.1586781
2007,BPA,1183.345288,1056.502112,1180.0447,1080.6382,67.675255,66.084717,8.4742556,9.2537909
2008,BPA,1146.204167,999.8903438,1140.7141,1071.254,65.419655,65.510841,8.7664385,9.3348541
2009,BPA,1086.847749,1000.756539,1099.77,1062.2408,63.071522,64.959656,9.0928097,9.4140606
2010,BPA,1050.168313,886.0019979,1054.8567,1051.8486,60.495754,64.324135,9.4799604,9.5070715
2011,BPA,1031.057622,1283.684312,1009.8763,1038.7997,57.916142,63.526146,9.9022026,9.6264954
2012,BPA,980.4365098,1165.49898,968.20496,1029.845,55.526299,62.978535,10.328392,9.7101994
2013,BPA,891.0012173,927.1879854,931.84802,1025.9591,53.441238,62.740902,10.731363,9.7469769
2014,BPA,873.0922743,977.7853706,900.2796,1017.83,51.630798,62.243778,11.10766,9.8248234
